timestamp,agent,model,prompt_tokens,completion_tokens,total_tokens,response_time_ms,status,error_message,npc_id,attempt_number
2025-12-03T00:05:17.573655,planner,gpt-4o,1202,293,1495,4462.81,success,,,1
2025-12-03T00:05:22.141741,planner,gpt-4o,1192,289,1481,4555.68,success,,,1
2025-12-03T00:05:26.092968,dialogue,gpt-4o,780,225,1005,3943.61,success,,,1
2025-12-03T00:05:34.741833,critic,gpt-4.1,1498,366,1864,8640.33,success,,,1
2025-12-03T00:05:46.923413,relationship,gpt-4.1-mini,1297,180,1477,3487.22,success,,,1
2025-12-03T00:05:48.459548,auto_memorize,gpt-4.1-mini,2614,21,2635,1523.54,success,,ezra,1
2025-12-03T19:05:59.486211,auto_memorize,gpt-4.1-mini,1999,202,2201,5242.7,success,,kira,1
2025-12-03T19:06:03.884204,dinamic_emotion,gpt-4.1-mini,1264,173,1437,4378.53,success,,,1
2025-12-03T19:06:08.493983,context_awareness,gpt-4.1-mini,924,171,1095,4602.34,success,,,1
2025-12-03T19:06:13.963380,planner,gpt-4o,1219,254,1473,5463.7,success,,,1
2025-12-03T19:06:19.579939,dialogue,gpt-4o,677,234,911,5608.89,success,,,1
2025-12-03T19:06:23.535707,critic,gpt-4.1,1420,240,1660,3940.98,success,,,1
2025-12-03T19:06:30.857748,relationship,gpt-4.1-mini,1239,174,1413,3801.3,success,,,1
2025-12-03T19:06:33.172360,auto_memorize,gpt-4.1-mini,2318,84,2402,2297.41,success,,kira,1
2025-12-03T19:07:24.415628,auto_memorize,gpt-4.1-mini,2226,21,2247,798.49,success,,kira,1
2025-12-03T19:07:27.043030,dinamic_emotion,gpt-4.1-mini,1237,182,1419,2615.69,success,,,1
2025-12-03T19:07:32.332349,context_awareness,gpt-4.1-mini,927,220,1147,5281.54,success,,,1
2025-12-03T19:08:18.152309,context_awareness,gpt-4.1-mini,656,0,656,0,error,,,1
2025-12-03T19:08:22.553399,context_awareness,gpt-4.1-mini,927,172,1099,3898.88,success,,,2
2025-12-03T19:08:27.700794,planner,gpt-4o,1297,377,1674,5140.4,success,,,1
2025-12-03T19:08:35.706423,dialogue,gpt-4o,757,256,1013,7998.74,success,,,1
2025-12-03T19:08:39.221236,critic,gpt-4.1,1543,115,1658,3507.43,success,,,1
2025-12-03T19:08:47.294798,relationship,gpt-4.1-mini,1268,169,1437,3120.98,success,,,1
2025-12-03T19:08:48.881050,auto_memorize,gpt-4.1-mini,2345,21,2366,1571.67,success,,kira,1
2025-12-03T19:11:27.075033,auto_memorize,gpt-4.1-mini,2214,21,2235,1098.28,success,,kira,1
2025-12-03T19:11:29.960519,dinamic_emotion,gpt-4.1-mini,1226,182,1408,2876.72,success,,,1
2025-12-03T19:11:34.022508,context_awareness,gpt-4.1-mini,931,191,1122,4054.32,success,,,1
2025-12-03T19:11:36.924157,context_awareness,gpt-4.1-mini,931,181,1112,2887.99,success,,,1
2025-12-03T19:11:42.976800,planner,gpt-4o,1289,233,1522,6044.37,success,,,1
2025-12-03T19:11:46.573829,dialogue,gpt-4o,746,172,918,3591.19,success,,,1
2025-12-03T19:11:49.513710,critic,gpt-4.1,1461,64,1525,2931.41,success,,,1
2025-12-03T19:11:55.852874,relationship,gpt-4.1-mini,1215,176,1391,2660.33,success,,,1
2025-12-03T19:11:57.342750,auto_memorize,gpt-4.1-mini,2282,64,2346,1475.98,success,,kira,1
2025-12-03T19:13:34.758331,auto_memorize,gpt-4.1-mini,2256,27,2283,983.08,success,,kira,1
2025-12-03T19:13:37.935711,dinamic_emotion,gpt-4.1-mini,1240,171,1411,3166.0,success,,,1
2025-12-03T19:13:40.548942,context_awareness,gpt-4.1-mini,961,142,1103,2605.09,success,,,1
2025-12-03T19:13:49.741683,planner,gpt-4o,1188,258,1446,9185.89,success,,,1
2025-12-03T19:13:53.932199,dialogue,gpt-4o,669,208,877,4184.07,success,,,1
2025-12-03T19:13:55.801715,critic,gpt-4.1,1420,83,1503,1862.09,success,,,1
2025-12-03T19:14:45.140207,relationship,gpt-4.1-mini,845,0,845,0,error,,,1
2025-12-03T19:14:48.850864,relationship,gpt-4.1-mini,1258,165,1423,3208.53,success,,,2
2025-12-03T19:14:51.343894,auto_memorize,gpt-4.1-mini,2343,83,2426,2477.74,success,,kira,1
2025-12-03T19:16:43.314956,auto_memorize,gpt-4.1-mini,2474,119,2593,2151.55,success,,raven,1
2025-12-03T19:16:45.937939,dinamic_emotion,gpt-4.1-mini,1303,187,1490,2609.77,success,,,1
2025-12-03T19:16:51.590079,context_awareness,gpt-4.1-mini,977,178,1155,5635.24,success,,,1
2025-12-03T19:17:00.311993,planner,gpt-4o,1234,249,1483,8714.3,success,,,1
2025-12-03T19:17:06.724576,dialogue,gpt-4o,721,181,902,6405.01,success,,,1
2025-12-03T19:17:08.469350,critic,gpt-4.1,1404,64,1468,1736.3,success,,,1
2025-12-03T19:17:15.159105,relationship,gpt-4.1-mini,1258,174,1432,3025.73,success,,,1
2025-12-03T19:17:16.354203,auto_memorize,gpt-4.1-mini,2542,21,2563,1182.77,success,,raven,1
2025-12-05T13:56:21.698098,auto_memorize,gpt-4.1-mini,2406,143,2549,3650.48,success,,raven,1
2025-12-05T13:56:27.482435,dinamic_emotion,gpt-4.1-mini,1308,187,1495,5750.76,success,,,1
2025-12-05T13:56:31.891359,context_awareness,gpt-4.1-mini,959,191,1150,4404.22,success,,,1
2025-12-05T13:56:41.932478,planner,gpt-4o,1248,253,1501,10032.25,success,,,1
2025-12-05T13:56:47.585693,dialogue,gpt-4o,700,175,875,5645.29,success,,,1
2025-12-05T13:56:51.161630,critic,gpt-4.1,1391,68,1459,3562.64,success,,,1
2025-12-05T13:56:59.943778,relationship,gpt-4.1-mini,1227,170,1397,3512.76,success,,,1
2025-12-05T13:57:03.192501,auto_memorize,gpt-4.1-mini,2604,121,2725,3228.52,success,,raven,1
